"","age","balance","day","duration","campaign","pdays","previous","y"
"3395",46,1038,15,200,3,-1,0,"no"
"40082",25,1871,4,136,1,-1,0,"yes"
"1384",34,163,8,44,1,-1,0,"no"
"24435",48,427,17,62,1,-1,0,"no"
"35062",44,-375,6,149,4,-1,0,"no"
"40835",55,357,11,526,1,103,1,"no"
"4742",40,236,20,167,2,-1,0,"no"
"29954",41,28,4,358,2,-1,0,"no"
"11235",32,7419,18,248,29,-1,0,"no"
"3396",24,51,15,187,2,-1,0,"no"
"23063",38,0,26,22,38,-1,0,"no"
"44278",25,37,24,11,1,-1,0,"no"
"22774",33,463,25,390,7,-1,0,"no"
"17893",45,13265,30,113,2,-1,0,"no"
"17775",45,4647,29,109,3,-1,0,"no"
"40553",24,9883,8,210,5,-1,0,"yes"
"10329",36,183,12,167,5,-1,0,"no"
"44280",82,243,26,275,1,180,2,"yes"
"41622",47,2601,24,261,1,-1,0,"yes"
"15155",39,363,17,184,1,-1,0,"no"
"13822",50,-10,10,369,6,-1,0,"no"
"28099",51,394,28,968,2,-1,0,"yes"
"26362",50,808,20,302,3,-1,0,"no"
"14492",27,0,14,227,4,-1,0,"no"
"3266",56,5041,15,158,1,-1,0,"no"
"9836",49,902,9,210,2,-1,0,"no"
"42946",79,631,8,105,2,181,1,"no"
"169",54,184,5,673,2,-1,0,"yes"
"1329",32,514,8,459,1,-1,0,"no"
"24153",43,2271,10,524,1,-1,0,"yes"
"42505",72,1533,16,546,2,-1,0,"yes"
"16559",29,768,24,119,5,-1,0,"no"
"28253",35,474,29,372,1,-1,0,"no"
"25486",39,1682,19,147,1,170,1,"no"
"33867",35,35,30,358,1,-1,0,"no"
"20944",58,8332,13,740,4,-1,0,"no"
"14735",49,278,15,112,6,-1,0,"no"
"31305",19,1803,10,59,1,-1,0,"no"
"37879",52,633,14,292,1,-1,0,"no"
"39351",29,722,18,81,4,-1,0,"no"
"32967",39,284,17,1426,2,318,6,"no"
"18076",37,11,30,109,8,-1,0,"no"
"14155",49,-195,11,64,2,-1,0,"no"
"28912",43,764,2,118,1,-1,0,"no"
"25517",37,2519,19,58,1,-1,0,"no"
"41746",64,2140,12,181,2,-1,0,"no"
"5575",32,1581,23,331,3,-1,0,"no"
"38418",34,194,15,1015,1,-1,0,"yes"
"37897",37,-42,14,668,2,-1,0,"yes"
"43816",55,379,27,275,3,219,2,"no"
"10457",47,-245,12,67,4,-1,0,"no"
"27950",28,4465,28,769,1,-1,0,"yes"
"6864",39,7304,28,216,1,-1,0,"no"
"16153",33,920,22,187,4,-1,0,"no"
"989",38,0,7,55,1,-1,0,"no"
"30991",42,1285,9,21,3,252,4,"no"
"41337",66,220,28,283,1,-1,0,"no"
"24504",33,0,17,809,3,181,1,"no"
"22440",30,370,22,64,2,-1,0,"no"
"23766",46,292,28,7,13,-1,0,"no"
"16075",32,57,22,50,2,-1,0,"no"
"29860",31,1957,4,112,3,-1,0,"no"
"6261",52,-585,27,201,2,-1,0,"no"
"16208",27,148,22,174,9,-1,0,"no"
"335",45,24598,5,313,3,-1,0,"no"
"8458",38,823,3,132,5,-1,0,"no"
"30215",36,3270,5,44,1,-1,0,"no"
"16674",41,720,24,651,1,-1,0,"yes"
"1656",43,49,9,100,1,-1,0,"no"
"4552",36,722,20,268,2,-1,0,"no"
"18263",46,5681,31,43,5,-1,0,"no"
"43285",72,951,12,229,3,339,1,"yes"
"16709",34,176,24,78,1,-1,0,"no"
"1174",39,70,8,813,1,-1,0,"yes"
"7648",34,362,30,38,3,-1,0,"no"
"7213",57,806,29,77,1,-1,0,"no"
"39659",47,2279,27,161,1,-1,0,"no"
"41917",53,3370,21,180,1,334,3,"no"
"44445",56,2037,5,318,1,91,6,"yes"
"9873",57,473,9,87,1,-1,0,"no"
"38270",43,68,15,159,1,-1,0,"no"
"19751",47,231,8,88,2,-1,0,"no"
"23360",51,260,27,316,5,-1,0,"no"
"10772",49,27,17,131,6,-1,0,"no"
"33850",68,20723,28,318,2,-1,0,"no"
"1817",43,291,9,150,2,-1,0,"no"
"38196",60,174,15,241,1,364,1,"no"
"38643",33,1423,15,333,2,364,3,"no"
"138",43,0,5,73,1,-1,0,"no"
"26716",53,111,20,600,3,189,2,"no"
"42601",70,2795,8,301,2,-1,0,"yes"
"20084",32,312,11,67,4,-1,0,"no"
"10609",50,4882,16,320,2,-1,0,"no"
"5554",32,1247,23,154,3,-1,0,"no"
"2304",33,176,12,157,5,-1,0,"no"
"12992",43,8,7,245,5,-1,0,"no"
"1042",48,359,7,374,1,-1,0,"no"
"6730",53,-137,28,72,1,-1,0,"no"
"43053",77,2590,15,112,5,94,15,"no"
"22598",58,4354,22,98,7,-1,0,"no"
"12988",43,128,7,122,2,-1,0,"no"
"2808",44,0,14,179,1,-1,0,"no"
"39624",29,1135,26,407,2,98,1,"no"
"27050",31,44128,21,74,1,-1,0,"no"
"26590",49,4465,20,72,2,-1,0,"no"
"14427",53,2231,14,272,3,-1,0,"no"
"44279",28,2015,26,110,2,182,2,"no"
"4456",31,2,20,182,2,-1,0,"yes"
"36766",40,3126,12,200,2,-1,0,"no"
"33973",33,1737,30,524,2,-1,0,"no"
"41638",20,1191,28,500,2,228,1,"no"
"40285",35,2015,15,60,1,390,1,"no"
"5797",55,-473,26,233,1,-1,0,"no"
"19008",30,1908,5,222,1,-1,0,"no"
"42586",61,544,29,63,3,200,9,"yes"
"40594",49,0,28,67,5,252,1,"no"
"2492",52,131,13,145,1,-1,0,"no"
"26712",42,3396,20,93,4,-1,0,"no"
"355",59,27,5,347,3,-1,0,"no"
"163",47,176,5,303,2,-1,0,"no"
"11693",48,7,20,633,2,-1,0,"no"
"15546",43,0,21,455,2,-1,0,"no"
"39949",54,446,2,122,2,91,8,"no"
"3381",47,0,15,30,1,-1,0,"no"
"22397",31,10215,22,139,2,-1,0,"no"
"20682",30,4210,12,796,4,-1,0,"yes"
"23196",30,60,27,87,3,-1,0,"no"
"38545",28,41,15,885,3,352,2,"yes"
"11189",49,332,18,163,2,-1,0,"no"
"43389",27,1393,31,382,1,271,1,"no"
"1348",41,225,8,63,2,-1,0,"no"
"28751",26,828,30,141,1,-1,0,"no"
"19115",33,2885,5,1051,2,-1,0,"yes"
"17701",50,1688,29,156,2,-1,0,"no"
"39444",32,2979,25,156,1,-1,0,"no"
"41167",38,407,19,89,1,-1,0,"no"
"41336",30,7,28,173,1,164,4,"yes"
"37960",51,814,14,17,8,-1,0,"no"
"45209",72,5715,17,1127,5,184,3,"yes"
"8102",37,410,2,317,6,-1,0,"no"
"17718",55,1467,29,277,2,-1,0,"no"
"5306",41,-326,23,86,2,-1,0,"no"
"11818",37,43,20,250,3,-1,0,"no"
"21162",39,2985,14,91,2,-1,0,"no"
"2632",26,3108,13,481,3,-1,0,"no"
"10333",57,108,12,98,1,-1,0,"no"
"20562",57,2714,12,106,2,-1,0,"no"
"25384",45,-14,18,39,2,127,3,"no"
"5259",37,0,23,412,6,-1,0,"no"
"34526",41,121,5,456,1,287,1,"no"
"9260",41,140,5,65,3,-1,0,"no"
"18731",44,5181,31,18,7,-1,0,"no"
"30592",64,440,6,495,1,-1,0,"yes"
"37047",31,1545,13,207,1,-1,0,"no"
"34106",35,1162,30,175,1,-1,0,"yes"
"3472",41,102,15,323,1,-1,0,"no"
"2361",29,125,13,50,1,-1,0,"no"
"12083",39,1022,20,20,3,-1,0,"no"
"34917",33,-457,6,128,1,350,1,"no"
"14980",38,0,16,1473,6,-1,0,"no"
"23436",30,7870,28,82,7,-1,0,"no"
"1695",35,337,9,127,1,-1,0,"no"
"3245",50,708,15,104,1,-1,0,"no"
"32734",32,7107,17,882,2,-1,0,"no"
"3990",44,399,16,148,9,-1,0,"no"
"18521",35,3384,31,372,2,-1,0,"no"
"26323",34,8077,20,278,2,-1,0,"no"
"28350",56,420,29,129,1,265,1,"no"
"28711",36,98,30,771,1,-1,0,"yes"
"4955",37,13156,21,240,1,-1,0,"no"
"36297",32,-616,11,74,1,-1,0,"no"
"37784",27,1295,14,1106,1,-1,0,"no"
"13584",33,0,9,160,1,-1,0,"no"
"1814",30,491,9,197,4,-1,0,"no"
"23621",58,7881,28,507,8,-1,0,"no"
"39254",36,246,18,427,4,-1,0,"no"
"29096",47,15,2,71,1,266,4,"no"
"41653",45,4068,30,314,1,41,1,"no"
"40889",32,1331,12,93,1,104,4,"no"
"44439",53,18931,5,224,1,86,23,"no"
"8375",25,120,3,542,1,-1,0,"no"
"29631",32,703,3,489,2,271,2,"no"
"35601",27,-584,7,411,2,-1,0,"no"
"39942",40,2893,2,76,3,-1,0,"no"
"30530",57,337,5,59,2,-1,0,"no"
"6850",30,-518,28,244,6,-1,0,"no"
"9903",52,537,9,85,1,-1,0,"no"
"8015",39,2763,2,526,2,-1,0,"yes"
"20127",34,268,11,47,4,-1,0,"no"
"4476",38,732,20,269,1,-1,0,"no"
"32308",55,111,16,117,1,-1,0,"no"
"8616",27,295,3,148,13,-1,0,"no"
"4584",32,11697,20,296,1,-1,0,"no"
"20636",31,1289,12,264,3,-1,0,"no"
"8658",37,1345,3,59,2,-1,0,"no"
"35278",32,39,7,128,1,-1,0,"no"
"30022",42,234,4,765,2,-1,0,"no"
"43936",48,1290,16,58,1,-1,0,"no"
"12796",32,2559,7,889,1,-1,0,"yes"
"39761",26,1274,1,190,1,84,1,"no"
"5841",49,-236,26,204,2,-1,0,"no"
"36681",42,-411,12,78,5,292,3,"no"
"4462",36,412,20,127,1,-1,0,"no"
"37675",49,87,14,162,2,-1,0,"no"
"7178",32,118,29,358,10,-1,0,"no"
"7513",54,6251,29,421,3,-1,0,"no"
"29158",46,216,2,173,1,-1,0,"no"
"12414",27,511,30,85,5,-1,0,"no"
"25695",54,1239,19,200,1,-1,0,"no"
"39713",58,196,27,110,3,-1,0,"no"
"41938",68,2144,22,277,1,184,2,"yes"
"18287",49,224,31,79,4,-1,0,"no"
"38652",29,7531,15,50,2,-1,0,"no"
"39003",30,-146,18,167,1,-1,0,"no"
"10675",41,-100,16,20,21,-1,0,"no"
"20873",56,19,13,111,2,-1,0,"no"
"26812",32,6059,20,110,2,-1,0,"no"
"18811",48,0,31,35,11,-1,0,"no"
"14210",38,84,11,328,2,-1,0,"no"
"18398",37,557,31,47,2,-1,0,"no"
"4430",31,368,20,81,1,-1,0,"no"
"5088",38,-165,21,230,2,-1,0,"no"
"11036",59,0,17,956,2,-1,0,"no"
"32568",35,293,17,1017,1,325,1,"yes"
"38739",26,0,18,130,4,-1,0,"no"
"31258",32,506,5,63,2,-1,0,"yes"
"8132",31,932,2,169,1,-1,0,"no"
"9797",39,7372,9,76,1,-1,0,"no"
"27930",50,253,28,37,1,-1,0,"no"
"36043",57,7400,11,485,2,-1,0,"no"
"12895",31,78,7,104,1,-1,0,"no"
"2838",42,277,14,121,1,-1,0,"no"
"35778",38,238,8,86,1,366,2,"no"
"6080",24,9,27,292,7,-1,0,"no"
"12547",52,51,3,88,1,-1,0,"no"
"29280",41,-376,2,421,3,238,9,"no"
"20486",40,12409,12,196,2,-1,0,"no"
"9170",44,-389,5,52,1,-1,0,"no"
"36156",51,3370,11,59,1,-1,0,"no"
"32740",30,390,17,175,1,347,1,"no"
"18958",49,1122,4,143,1,-1,0,"no"
"16945",36,142,25,571,1,-1,0,"no"
"26439",57,3815,20,90,2,-1,0,"no"
"8333",49,696,2,310,3,-1,0,"no"
"23722",33,2,28,385,7,-1,0,"no"
"9226",41,20,5,333,1,-1,0,"no"
"43682",31,1282,12,144,1,460,2,"no"
"5029",27,967,21,162,1,-1,0,"no"
"24450",44,4826,17,102,1,185,4,"no"
"31246",23,486,3,87,1,-1,0,"no"
"37247",53,8892,13,177,1,174,1,"no"
"32586",32,294,17,1095,1,274,5,"yes"
"23730",44,278,28,95,4,-1,0,"no"
"36439",45,744,11,211,2,347,1,"no"
"16326",44,23,23,56,1,-1,0,"no"
"38692",46,494,15,131,3,365,1,"no"
"43722",29,1374,14,1205,2,178,7,"yes"
"34184",37,6101,4,60,5,87,1,"no"
"10569",51,13292,16,1238,2,-1,0,"no"
"6002",33,440,26,250,2,-1,0,"no"
"13376",34,1,9,394,1,-1,0,"no"
"20498",41,557,12,148,4,-1,0,"no"
"8970",36,135,5,308,1,-1,0,"no"
"11881",49,2,20,16,20,-1,0,"no"
"813",47,733,7,268,1,-1,0,"no"
"40138",34,88,5,206,1,99,1,"no"
"37092",38,15030,13,167,1,174,7,"no"
"4828",40,1136,21,86,1,-1,0,"no"
"43494",34,589,19,125,2,-1,0,"yes"
"8412",42,-129,3,175,1,-1,0,"no"
"37185",33,1064,13,562,1,-1,0,"yes"
"21100",58,3,14,158,2,-1,0,"no"
"13563",40,22,9,145,2,-1,0,"no"
"6096",43,429,27,222,4,-1,0,"no"
"44833",28,242,17,47,1,779,12,"no"
"43630",41,1646,5,258,1,90,7,"yes"
"33243",61,243,20,194,1,-1,0,"yes"
"35389",36,0,7,332,1,-1,0,"no"
"44559",30,0,13,173,4,562,1,"no"
"17099",27,158,25,124,2,-1,0,"no"
"22601",50,321,22,90,11,-1,0,"no"
"44727",38,0,8,210,1,92,3,"yes"
"41735",38,53,8,78,1,58,1,"no"
"42824",40,275,1,196,2,-1,0,"no"
"31906",42,0,9,331,1,140,4,"yes"
"39493",56,13094,25,1064,1,-1,0,"yes"
"44134",43,386,12,220,3,529,1,"yes"
"34465",30,80,5,145,1,337,4,"no"
"2063",25,249,12,149,5,-1,0,"no"
"7986",39,2193,2,550,3,-1,0,"no"
"38398",31,147,15,456,1,-1,0,"no"
"18445",46,1,31,43,2,-1,0,"no"
"963",44,187,7,185,1,-1,0,"no"
"20815",58,0,13,641,4,-1,0,"yes"
"22460",36,276,22,131,2,-1,0,"no"
"16892",25,-282,25,198,1,-1,0,"no"
"23018",35,188,26,286,2,-1,0,"no"
"26159",47,6704,20,37,2,-1,0,"no"
"2482",48,1199,13,76,1,-1,0,"no"
"34232",33,69,4,77,2,-1,0,"no"
"4561",42,0,20,66,12,-1,0,"no"
"8977",50,705,5,504,1,-1,0,"yes"
"36139",41,-312,11,90,1,348,1,"no"
"42481",45,1788,10,364,1,191,4,"no"
"19437",52,2091,6,181,2,-1,0,"no"
"19317",41,501,6,150,4,-1,0,"no"
"26904",53,5558,21,81,6,189,3,"no"
"11915",24,126,20,10,58,-1,0,"no"
"30920",26,477,9,58,2,-1,0,"no"
"34554",40,47,5,159,1,365,1,"no"
"19236",46,398,6,128,2,-1,0,"no"
"20804",42,849,13,403,2,-1,0,"no"
"21464",56,0,18,82,3,-1,0,"no"
"34201",56,2333,4,244,1,-1,0,"yes"
"3528",46,756,15,401,7,-1,0,"no"
"21192",36,-393,14,119,4,-1,0,"no"
"11427",55,557,19,58,1,-1,0,"no"
"9418",35,8127,6,315,1,-1,0,"no"
"8069",35,80,2,579,2,-1,0,"no"
"40307",29,2800,16,202,1,-1,0,"no"
"11584",38,2674,19,163,2,-1,0,"no"
"19508",45,3098,7,159,2,-1,0,"no"
"4797",31,289,21,262,2,-1,0,"no"
"17582",45,193,29,116,2,-1,0,"no"
"35481",36,181,7,271,2,-1,0,"no"
"36855",40,1411,12,224,2,357,2,"no"
"3527",26,500,15,21,6,-1,0,"no"
"44522",42,27696,11,370,1,91,7,"yes"
"43363",60,2060,26,454,1,88,3,"no"
"36821",48,574,12,328,2,-1,0,"no"
"41515",51,1416,9,345,1,-1,0,"yes"
"27508",30,1050,21,58,2,-1,0,"no"
"15337",36,1584,18,178,1,-1,0,"no"
"39315",47,-121,18,167,4,314,4,"no"
"16418",42,1532,23,98,3,-1,0,"no"
"18804",42,-7,31,41,6,-1,0,"no"
"18330",47,1968,31,394,2,-1,0,"no"
"30334",39,917,5,161,2,258,1,"no"
"31487",52,1256,1,498,3,-1,0,"no"
"18761",43,1076,31,78,23,-1,0,"no"
"37343",34,0,13,172,1,-1,0,"no"
"18703",48,10655,31,5,3,-1,0,"no"
"35762",31,1090,8,50,1,303,1,"no"
"7008",45,5336,28,99,2,-1,0,"no"
"34816",44,3,6,147,1,-1,0,"no"
"40811",53,4401,11,254,1,-1,0,"yes"
"39688",32,0,27,123,2,-1,0,"no"
"10208",41,1259,11,177,8,-1,0,"no"
"42909",30,145,5,96,3,175,1,"no"
"3516",58,3501,15,544,3,-1,0,"no"
"36181",56,150,11,102,6,349,1,"no"
"19758",41,1517,8,193,3,-1,0,"yes"
"25880",59,741,19,194,2,152,2,"no"
"38492",48,480,15,830,1,352,2,"yes"
"34107",30,766,30,296,1,-1,0,"no"
"12103",54,827,20,294,2,-1,0,"no"
"30916",36,1245,9,8,7,248,9,"no"
"5372",51,-175,23,270,1,-1,0,"no"
"40772",50,0,10,232,3,130,3,"no"
"37447",36,-978,13,62,3,-1,0,"no"
"43245",59,957,8,301,1,89,2,"yes"
"41180",81,1,19,65,5,-1,0,"no"
"11481",53,2774,19,193,1,-1,0,"no"
"14967",32,-1668,16,166,6,-1,0,"no"
"13104",56,175,8,188,1,-1,0,"no"
"7901",51,1069,30,247,2,-1,0,"no"
"44454",29,2196,5,215,1,-1,0,"yes"
"35957",59,148,8,685,2,366,1,"yes"
"12183",50,0,20,26,4,-1,0,"no"
"33495",34,1477,20,233,3,-1,0,"no"
"19370",32,1423,6,1249,4,-1,0,"yes"
"1994",56,-435,9,185,2,-1,0,"no"
"22509",34,857,22,238,6,-1,0,"no"
"43931",51,0,15,177,4,99,2,"no"
"20364",31,30,11,133,5,-1,0,"no"
"41601",71,0,16,246,3,-1,0,"no"
"16476",44,-18,23,510,2,-1,0,"no"
"26824",50,719,20,117,6,-1,0,"no"
"11766",39,759,20,100,1,-1,0,"no"
"26882",32,502,20,442,4,-1,0,"no"
"9248",53,943,5,314,2,-1,0,"no"
"8981",40,11,5,83,3,-1,0,"no"
"40314",30,2,16,102,1,85,1,"no"
"39216",25,127,18,695,2,-1,0,"no"
"41052",69,579,14,230,1,-1,0,"no"
"27126",31,3154,21,326,2,-1,0,"no"
"29331",21,948,2,77,2,-1,0,"no"
"29915",33,3805,4,72,1,-1,0,"no"
"41688",26,170,2,160,2,109,1,"no"
"23064",38,0,26,101,4,-1,0,"no"
"39272",24,-156,18,4,2,-1,0,"no"
"29654",41,0,3,475,3,-1,0,"no"
"33551",49,603,20,590,3,-1,0,"no"
"28640",31,1724,29,152,2,254,1,"no"
"28144",43,373,29,221,1,-1,0,"no"
"23321",42,105,27,85,4,-1,0,"no"
"11973",36,976,20,408,5,-1,0,"no"
"5145",37,3326,21,799,1,-1,0,"yes"
"18937",47,123,4,653,2,-1,0,"no"
"39201",32,1041,18,577,2,-1,0,"no"
"14485",39,0,14,894,7,-1,0,"yes"
"10705",38,1116,16,406,2,-1,0,"no"
"30673",55,698,6,25,1,-1,0,"no"
"1278",52,291,8,143,1,-1,0,"no"
"20216",60,1210,11,231,2,-1,0,"no"
"12294",57,37,25,259,2,-1,0,"no"
"34116",57,1119,30,176,2,-1,0,"no"
"1244",45,1381,8,269,1,-1,0,"no"
"31141",56,722,19,134,3,94,2,"no"
"27653",51,2235,21,8,3,-1,0,"no"
"38336",29,213,15,174,1,361,1,"no"
"17311",31,17,28,266,3,-1,0,"no"
"21256",43,1413,18,116,9,-1,0,"no"
"44913",28,390,29,845,1,232,4,"yes"
"2041",35,86,12,33,4,-1,0,"no"
"10631",50,887,16,287,1,-1,0,"no"
"26098",41,3123,19,291,2,-1,0,"no"
"41676",47,288,1,101,1,-1,0,"yes"
"31054",33,1778,12,388,1,-1,0,"yes"
"18399",48,105,31,111,2,-1,0,"no"
"7973",47,1095,2,357,2,-1,0,"no"
"35450",38,0,7,127,1,171,2,"no"
"12066",58,0,20,22,4,-1,0,"no"
"42147",18,156,4,298,2,82,4,"no"
"42797",62,4727,28,80,4,90,4,"no"
"16430",55,1150,23,218,3,-1,0,"no"
"25439",36,3343,18,307,1,-1,0,"no"
"25670",32,0,19,66,1,-1,0,"no"
"5766",43,527,26,166,12,-1,0,"no"
"31431",32,234,27,166,2,-1,0,"no"
"39097",32,12198,18,178,1,-1,0,"yes"
"37341",30,236,13,44,1,364,1,"no"
"11296",49,1050,18,84,5,-1,0,"no"
"41724",54,895,7,335,1,-1,0,"yes"
"38789",33,523,18,18,5,360,5,"no"
"33010",36,1949,17,48,2,319,3,"no"
"20869",30,756,13,321,4,-1,0,"no"
"38550",27,362,15,76,2,-1,0,"no"
"38234",40,178,15,188,1,-1,0,"no"
"30949",37,784,9,41,3,-1,0,"no"
"31661",37,1207,6,1353,2,138,2,"yes"
"36546",41,194,12,201,1,-1,0,"no"
"3669",40,1101,16,214,1,-1,0,"no"
"43438",31,3289,12,235,1,314,1,"no"
"22830",39,454,25,171,8,-1,0,"no"
"24757",37,723,18,119,1,110,2,"no"
"43566",61,1058,27,159,3,-1,0,"yes"
"35814",37,638,8,326,1,326,2,"no"
"21391",31,431,18,75,2,-1,0,"no"
"24742",56,0,18,189,1,-1,0,"no"
"18156",55,2366,30,94,4,-1,0,"no"
"13625",49,66,9,218,3,-1,0,"no"
"19518",54,3395,7,199,2,-1,0,"no"
"17058",35,786,25,322,1,-1,0,"no"
"9984",41,0,9,229,2,-1,0,"no"
"5714",53,1925,26,153,1,-1,0,"no"
"13232",28,882,8,107,2,-1,0,"no"
"31062",37,127,13,71,1,-1,0,"yes"
"23223",42,1,27,223,13,-1,0,"no"
"38569",33,1293,15,245,9,373,2,"no"
"8861",33,1808,4,99,4,-1,0,"no"
"27981",28,0,28,452,1,-1,0,"no"
"34278",33,-208,4,306,3,360,1,"no"
"16240",27,2526,23,500,3,-1,0,"no"
"31978",41,816,13,520,2,319,1,"no"
"26770",52,234,20,208,1,-1,0,"no"
"15105",58,1813,17,15,1,-1,0,"no"
"40042",33,781,3,266,1,27,1,"no"
"21000",54,131,14,252,2,-1,0,"no"
"22879",32,1900,25,121,16,-1,0,"no"
"40409",44,88,2,275,1,-1,0,"yes"
"8086",31,247,2,273,1,-1,0,"no"
"26355",53,0,20,520,2,-1,0,"no"
"15478",51,941,18,252,6,-1,0,"no"
"45151",65,2352,8,354,3,188,13,"no"
"21927",31,69,20,195,2,-1,0,"no"
"41564",37,0,14,155,1,-1,0,"no"
"29659",40,1308,3,1776,2,-1,0,"yes"
"33179",28,335,20,122,3,-1,0,"no"
"21671",30,5,19,120,6,-1,0,"no"
"29769",39,105,4,137,1,189,2,"no"
"27375",41,6687,21,41,2,123,3,"no"
"23000",48,2688,26,610,2,-1,0,"no"
"30636",44,837,6,218,1,-1,0,"no"
"32735",38,165,17,526,1,260,2,"yes"
"9302",45,334,5,87,2,-1,0,"no"
"40120",46,974,5,174,2,80,1,"yes"
"10460",39,733,16,83,4,-1,0,"no"
"27769",30,699,28,396,1,-1,0,"no"
"25478",42,412,19,142,4,169,5,"no"
"2955",46,243,14,345,2,-1,0,"no"
"34923",38,1255,6,120,1,170,4,"no"
"40496",37,981,7,682,2,386,1,"yes"
"45120",47,1210,26,604,1,91,4,"yes"
"36102",31,550,11,243,1,-1,0,"no"
"15351",34,351,18,467,1,-1,0,"no"
"3182",46,74,15,101,4,-1,0,"no"
"21863",38,0,20,124,4,-1,0,"no"
"21070",32,3616,14,165,2,-1,0,"no"
"24940",44,318,18,638,2,-1,0,"no"
"12076",47,480,20,9,6,-1,0,"no"
"24357",54,14107,17,98,1,-1,0,"no"
"35874",49,-202,8,608,2,170,5,"no"
"4950",31,525,21,159,1,-1,0,"no"
"44327",29,135,29,225,4,-1,0,"no"
"27173",34,2299,21,320,2,-1,0,"no"
"26566",38,1110,20,888,2,183,2,"yes"
"38188",39,1102,15,124,1,357,3,"no"
"30989",26,1114,9,44,2,-1,0,"no"
"31050",22,33,12,369,1,-1,0,"yes"
"17363",40,1616,28,1009,7,-1,0,"yes"
"21712",34,179,19,294,3,-1,0,"no"
"13859",33,-84,10,506,3,-1,0,"no"
"13554",45,1097,9,180,1,-1,0,"no"
"37291",45,-946,13,213,1,-1,0,"no"
"14384",30,0,14,768,2,-1,0,"no"
"31418",45,2466,27,124,1,-1,0,"no"
"321",51,0,5,173,2,-1,0,"no"
"33713",59,1080,21,645,2,-1,0,"no"
"37604",39,133,14,84,4,352,4,"no"
"44194",63,180,15,390,2,182,5,"yes"
"29811",37,895,4,219,2,245,1,"no"
"32636",39,1413,17,396,1,-1,0,"no"
"29380",37,2254,2,233,2,-1,0,"no"
"25784",39,447,19,968,1,-1,0,"no"
"24484",32,81,17,120,1,-1,0,"no"
"16667",26,87,24,225,1,-1,0,"no"
"21095",50,697,14,118,4,-1,0,"no"
"30835",39,208,9,122,2,-1,0,"no"
"24766",53,137,18,52,1,176,1,"no"
"1725",42,-67,9,128,1,-1,0,"no"
"25062",47,0,18,81,2,-1,0,"no"
"17262",50,2972,28,73,5,-1,0,"no"
"27973",39,434,28,169,2,-1,0,"no"
"4620",31,5058,20,157,1,-1,0,"no"
"37639",40,438,14,276,1,-1,0,"no"
"41003",27,4590,13,75,1,442,2,"no"
"9647",33,806,6,124,3,-1,0,"no"
"24639",40,1029,17,117,2,117,3,"no"
"31590",44,1136,3,345,2,249,7,"no"
"23143",30,796,26,366,13,-1,0,"no"
"16450",56,5,23,122,3,-1,0,"no"
"42295",37,1276,16,146,1,94,2,"yes"
"34410",28,431,5,29,6,358,3,"no"
"43515",42,273,21,354,1,-1,0,"no"
"38033",31,1750,14,90,3,-1,0,"no"
"39796",52,0,1,144,1,83,1,"no"
"32455",43,245,16,829,1,-1,0,"no"
"30671",31,2137,6,132,1,-1,0,"no"
"41365",38,748,31,98,3,-1,0,"no"
"40693",57,501,7,59,2,-1,0,"no"
"12512",37,0,2,372,1,-1,0,"no"
"41480",26,3529,7,57,2,-1,0,"no"
