"","age","balance","day","duration","campaign","pdays","previous","y"
"14993",42,127,17,199,2,-1,0,"no"
"27028",34,6463,21,40,1,-1,0,"no"
"19476",55,284,7,78,2,-1,0,"no"
"873",32,0,7,298,1,-1,0,"no"
"16224",39,1029,23,133,3,-1,0,"no"
"24762",42,2249,18,228,1,125,5,"no"
"1920",31,0,9,81,6,-1,0,"no"
"10464",36,340,16,559,3,-1,0,"no"
"44560",30,63,13,75,1,-1,0,"no"
"37925",33,315,14,888,3,-1,0,"yes"
"43637",27,145,5,121,4,89,3,"no"
"5563",32,497,23,92,3,-1,0,"no"
"5977",30,1265,26,414,2,-1,0,"yes"
"19673",31,676,7,1182,1,-1,0,"yes"
"19221",50,2050,6,158,3,-1,0,"no"
"19956",30,0,8,216,2,-1,0,"no"
"6528",35,914,27,374,9,-1,0,"no"
"12899",49,-354,7,455,1,-1,0,"no"
"20136",30,5,11,126,2,-1,0,"no"
"35428",44,430,7,97,2,171,2,"no"
"15078",43,833,17,156,1,-1,0,"no"
"20071",47,233,8,293,3,-1,0,"no"
"4309",49,320,19,243,6,-1,0,"no"
"37119",44,1,13,123,2,-1,0,"no"
"33439",27,4333,20,163,1,-1,0,"yes"
"492",29,1,6,215,1,-1,0,"no"
"577",53,288,6,69,1,-1,0,"no"
"21422",49,418,18,1559,7,-1,0,"no"
"5607",58,-205,23,253,2,-1,0,"no"
"17807",41,328,29,65,12,-1,0,"no"
"7876",40,1538,30,390,2,-1,0,"no"
"16993",33,-319,25,142,1,-1,0,"no"
"23444",33,5943,28,81,8,-1,0,"no"
"4538",33,7,20,217,1,-1,0,"no"
"22101",53,-31,21,82,8,-1,0,"no"
"4616",39,451,20,383,1,-1,0,"no"
"3604",31,358,15,124,2,-1,0,"no"
"28949",37,89,2,393,1,245,4,"no"
"36002",29,572,8,72,6,181,1,"no"
"25371",47,0,18,203,3,-1,0,"no"
"11272",45,220,18,89,4,-1,0,"no"
"5435",30,302,23,302,1,-1,0,"no"
"26383",31,900,20,321,2,190,4,"no"
"2601",49,254,13,179,1,-1,0,"no"
"44388",38,1199,3,482,1,-1,0,"yes"
"10308",44,1671,12,149,1,-1,0,"no"
"32773",32,703,17,200,3,-1,0,"no"
"5738",45,591,26,164,1,-1,0,"no"
"2940",41,1043,14,225,1,-1,0,"no"
"20856",55,199,13,15,17,-1,0,"no"
"36745",32,0,12,549,1,368,2,"no"
"3234",49,3649,15,150,1,-1,0,"no"
"411",32,406,6,227,1,-1,0,"no"
"14825",58,299,16,120,4,-1,0,"no"
"1529",32,177,8,21,3,-1,0,"no"
"34948",45,-192,6,138,3,-1,0,"no"
"22044",40,324,20,208,2,-1,0,"no"
"10543",42,323,16,617,1,-1,0,"yes"
"22103",30,0,21,351,6,-1,0,"no"
"43033",38,775,12,1835,3,182,2,"yes"
"739",55,143,6,42,3,-1,0,"no"
"21058",39,311,14,240,2,-1,0,"no"
"11181",49,997,18,118,1,-1,0,"no"
"37277",35,-639,13,427,1,-1,0,"no"
"10220",43,7298,11,36,2,-1,0,"no"
"6514",34,-34,27,201,5,-1,0,"no"
"13185",35,793,8,163,1,-1,0,"no"
"30162",32,2400,5,450,3,-1,0,"no"
"2560",56,88,13,172,2,-1,0,"no"
"18708",37,48,31,40,10,-1,0,"no"
"30525",40,0,5,985,6,-1,0,"no"
"8081",36,426,2,59,3,-1,0,"no"
"11334",49,2058,18,82,3,-1,0,"no"
"7514",46,385,29,52,4,-1,0,"no"
"16173",34,-199,22,78,10,-1,0,"no"
"28060",53,811,28,405,3,-1,0,"no"
"41431",52,1423,4,384,1,91,1,"no"
"36913",37,1193,12,396,2,-1,0,"no"
"43465",36,436,13,567,1,595,2,"yes"
"1280",35,797,8,81,1,-1,0,"no"
"8497",35,11,3,32,3,-1,0,"no"
"21282",55,512,18,115,4,-1,0,"no"
"7224",45,59,29,609,2,-1,0,"no"
"42973",36,417,10,151,1,-1,0,"yes"
"30582",29,247,6,204,2,214,1,"no"
"2143",25,40,12,64,1,-1,0,"no"
"2424",21,614,13,243,3,-1,0,"no"
"7324",35,97,29,135,4,-1,0,"no"
"9470",56,763,6,181,2,-1,0,"no"
"37391",39,0,13,1975,5,-1,0,"yes"
"24037",59,1227,29,89,5,-1,0,"no"
"19670",46,-824,7,429,3,-1,0,"yes"
"30494",60,2281,5,230,2,-1,0,"yes"
"6849",33,-366,28,81,4,-1,0,"no"
"5683",36,-8,26,180,2,-1,0,"no"
"2281",31,-474,12,215,2,-1,0,"no"
"34132",34,-308,30,140,2,-1,0,"no"
"34804",40,-606,6,90,1,345,1,"no"
"31362",29,261,17,136,19,-1,0,"no"
"38852",43,714,18,16,6,362,28,"no"
"16956",34,765,25,238,1,-1,0,"no"
"30527",34,713,5,124,2,-1,0,"no"
"10964",41,1483,17,66,4,-1,0,"no"
"1476",42,376,8,15,1,-1,0,"no"
"26036",39,633,19,105,2,133,3,"no"
"36137",32,-94,11,308,1,-1,0,"no"
"24363",51,-355,17,122,2,-1,0,"no"
"6214",36,3875,27,21,5,-1,0,"no"
"26777",52,7119,20,871,3,-1,0,"yes"
"26420",50,1878,20,45,2,181,11,"no"
"35180",33,250,7,277,1,-1,0,"no"
"7362",34,500,29,399,1,-1,0,"no"
"36501",59,0,12,214,3,-1,0,"no"
"3002",55,831,14,144,1,-1,0,"no"
"27874",43,2317,28,412,1,-1,0,"no"
"22144",31,-1,21,117,4,-1,0,"no"
"13066",35,0,8,201,1,-1,0,"no"
"23294",55,328,27,335,4,-1,0,"no"
"30196",26,1018,5,101,1,-1,0,"no"
"23533",36,659,28,90,13,-1,0,"no"
"3568",24,758,15,129,1,-1,0,"no"
"40953",38,1165,13,784,3,94,10,"yes"
"6079",38,-281,27,85,16,-1,0,"no"
"26326",50,0,20,152,1,190,1,"no"
"26852",45,816,20,279,3,-1,0,"no"
"5155",30,4733,21,81,2,-1,0,"no"
"37995",41,200,14,353,6,373,2,"no"
"29501",38,902,3,650,1,-1,0,"yes"
"11748",43,1517,20,45,1,-1,0,"no"
"1855",37,277,9,251,2,-1,0,"no"
"41124",67,585,17,109,1,-1,0,"no"
"9052",32,313,5,67,2,-1,0,"no"
"36757",35,855,12,549,1,300,1,"yes"
"27830",30,119,28,430,1,-1,0,"no"
"20766",33,2302,13,115,2,-1,0,"no"
"34347",31,12857,4,483,4,87,2,"yes"
"8027",36,3560,2,409,2,-1,0,"no"
"25633",32,10218,19,149,2,-1,0,"no"
"36713",39,467,12,7,5,285,30,"no"
"3499",50,106,15,388,2,-1,0,"no"
"16934",32,176,25,50,1,-1,0,"no"
"30629",26,3247,6,341,3,-1,0,"no"
"15954",40,121,22,80,1,-1,0,"no"
"3253",49,1530,15,173,1,-1,0,"no"
"19704",32,3360,7,365,5,-1,0,"no"
"43608",48,1730,4,361,1,89,3,"yes"
"12392",60,95,27,244,1,-1,0,"no"
"23223",42,1,27,223,13,-1,0,"no"
"24099",38,385,28,154,1,-1,0,"yes"
"41387",37,310,1,76,1,-1,0,"no"
"26460",33,2904,20,42,1,-1,0,"no"
"20201",35,0,11,309,2,-1,0,"no"
"29123",29,120,2,110,3,-1,0,"no"
"29334",41,320,2,844,2,252,1,"no"
"13709",49,-1965,10,317,2,-1,0,"no"
"3055",34,-115,14,360,1,-1,0,"no"
"43119",48,1571,24,104,3,-1,0,"no"
"12462",43,13,1,119,1,-1,0,"no"
"43113",33,101,23,393,2,130,1,"no"
"34548",38,2032,5,87,4,349,2,"no"
"26115",31,35,19,323,2,-1,0,"no"
"4494",37,439,20,215,2,-1,0,"no"
"23997",32,224,29,451,4,-1,0,"no"
"35",51,10635,5,336,1,-1,0,"no"
"4408",39,298,20,216,1,-1,0,"no"
"25454",35,12256,19,308,4,-1,0,"no"
"38321",24,2,15,48,1,-1,0,"no"
"13173",52,786,8,310,1,-1,0,"no"
"34558",36,668,5,623,1,-1,0,"no"
"27366",54,235,21,353,2,113,5,"no"
"38495",39,878,15,611,5,-1,0,"yes"
"22757",33,0,25,159,2,-1,0,"no"
"5861",32,494,26,252,2,-1,0,"no"
"10170",38,-10,11,174,1,-1,0,"no"
"8281",40,2635,2,20,21,-1,0,"no"
"6154",32,535,27,156,2,-1,0,"no"
"15329",35,552,18,222,1,-1,0,"no"
"20755",31,170,13,458,2,-1,0,"no"
"30458",35,137,5,142,4,-1,0,"no"
"25782",48,-202,19,565,1,112,4,"no"
"44189",47,3676,15,415,2,342,1,"yes"
"4581",53,736,20,535,1,-1,0,"no"
"19495",49,406,7,253,2,-1,0,"no"
"35577",37,-158,7,892,2,-1,0,"no"
"12720",38,1444,7,139,2,-1,0,"no"
"29669",49,780,3,354,5,-1,0,"no"
"671",46,530,6,739,3,-1,0,"no"
"11791",41,167,20,48,1,-1,0,"no"
"19428",42,60,6,426,3,-1,0,"no"
"17542",40,-495,29,303,2,-1,0,"no"
"14242",31,338,14,216,2,-1,0,"no"
"652",38,221,6,211,2,-1,0,"no"
"16978",54,2079,25,217,1,-1,0,"no"
"15998",48,-379,22,599,2,-1,0,"no"
"37244",55,323,13,200,1,-1,0,"no"
"5132",31,510,21,117,3,-1,0,"no"
"27053",49,4976,21,105,1,-1,0,"no"
"18740",43,-39,31,9,23,-1,0,"no"
"31045",41,1066,11,109,3,-1,0,"yes"
"2277",32,-24,12,93,4,-1,0,"no"
"34208",50,1270,4,24,3,-1,0,"no"
"43999",37,122,25,266,2,318,3,"yes"
"39883",39,782,2,162,2,28,15,"no"
"43163",34,173,26,36,1,-1,0,"no"
"13926",37,-54,10,573,6,-1,0,"no"
"32715",42,-256,17,576,1,318,2,"no"
"536",45,756,6,179,2,-1,0,"no"
"12696",43,-313,7,89,4,-1,0,"no"
"39674",50,77,27,138,2,-1,0,"no"
"14526",52,370,15,101,2,-1,0,"no"
"15590",42,182,21,394,2,-1,0,"no"
"22503",47,286,22,557,7,-1,0,"no"
"10382",38,702,12,143,1,-1,0,"no"
"15405",48,2392,18,133,5,-1,0,"no"
"42309",26,203,16,104,1,196,1,"no"
"23845",48,700,29,488,2,-1,0,"no"
"35330",57,192,7,320,1,-1,0,"no"
"18203",48,0,30,100,5,-1,0,"no"
"22603",53,1,22,120,10,-1,0,"no"
"29679",32,41,3,251,4,187,11,"no"
"35042",27,3096,6,62,4,357,1,"no"
"9732",43,861,9,78,1,-1,0,"no"
"39303",28,426,18,11,4,355,1,"no"
"26784",38,-3,20,251,2,101,3,"no"
"29493",31,1489,3,678,1,-1,0,"no"
"39551",26,8015,26,109,1,-1,0,"no"
"13734",44,-237,10,73,1,-1,0,"no"
"28021",45,297,28,210,2,-1,0,"no"
"7370",28,1180,29,637,3,-1,0,"no"
"40386",52,0,30,122,1,64,1,"no"
"5693",35,3888,26,422,5,-1,0,"no"
"8767",29,708,4,194,1,-1,0,"no"
"37998",34,259,14,291,2,-1,0,"no"
"14131",46,834,11,196,2,-1,0,"no"
"1890",37,-175,9,182,1,-1,0,"no"
"10766",50,1537,17,24,6,-1,0,"no"
"5129",32,255,21,86,2,-1,0,"no"
"1037",29,365,7,245,2,-1,0,"no"
"3487",47,10399,15,59,2,-1,0,"no"
"22097",33,1805,21,211,4,-1,0,"no"
"18272",48,10347,31,153,6,-1,0,"no"
"23182",31,0,27,581,6,-1,0,"yes"
"19528",45,1738,7,114,2,-1,0,"no"
"30542",26,690,5,76,3,-1,0,"no"
"4508",36,380,20,134,1,-1,0,"no"
"17172",60,74,28,29,8,-1,0,"no"
"26932",54,760,21,336,1,-1,0,"no"
"29965",49,20,4,117,1,-1,0,"no"
"37105",55,2171,13,318,5,176,1,"no"
"27401",41,748,21,94,7,130,3,"no"
"14983",32,0,16,524,4,-1,0,"no"
"22606",60,0,22,195,1,-1,0,"no"
"31885",34,1451,9,765,3,-1,0,"no"
"1274",41,55,8,1120,2,-1,0,"yes"
"6414",45,1126,27,172,1,-1,0,"no"
"32669",34,21,17,332,1,346,3,"no"
"42180",53,1356,9,371,2,96,4,"no"
"35303",54,6,7,109,1,367,1,"no"
"12385",33,837,27,250,8,-1,0,"no"
"31089",27,516,16,57,1,-1,0,"no"
"12633",41,6618,4,104,1,-1,0,"no"
"8717",48,1938,4,407,1,-1,0,"no"
"790",59,836,7,106,1,-1,0,"no"
"19866",57,853,8,86,4,-1,0,"no"
"24646",43,1781,17,69,2,-1,0,"no"
"15476",33,171,18,100,4,-1,0,"no"
"38233",35,1849,15,111,1,-1,0,"no"
"33000",38,69,17,140,2,-1,0,"no"
"11982",37,344,20,407,2,-1,0,"no"
"31113",29,8749,17,141,7,-1,0,"no"
"8545",34,340,3,633,28,-1,0,"no"
"10906",35,76,17,107,1,-1,0,"no"
"23449",43,-278,28,103,8,-1,0,"no"
"610",32,243,6,144,1,-1,0,"no"
"41439",26,1231,4,230,1,93,7,"yes"
"39295",31,-422,18,64,2,329,15,"no"
"32684",40,556,17,234,1,323,1,"no"
"40284",46,3232,15,94,2,-1,0,"no"
"9834",57,164,9,139,2,-1,0,"no"
"15374",30,183,18,610,1,-1,0,"yes"
"26782",30,186,20,235,3,-1,0,"no"
"43164",37,3654,26,262,1,274,2,"no"
"27841",51,409,28,203,1,-1,0,"no"
"24751",59,201,18,117,2,-1,0,"no"
"44546",27,598,12,126,1,524,1,"no"
"21315",45,4112,18,140,13,-1,0,"no"
"27717",41,0,4,43,1,-1,0,"no"
"44746",62,2801,9,261,1,183,1,"yes"
"16888",37,4039,25,106,2,-1,0,"no"
"3081",31,37,14,546,1,-1,0,"no"
"29887",34,0,4,77,1,-1,0,"no"
"4520",38,434,20,411,1,-1,0,"no"
"23004",34,94,26,541,2,-1,0,"no"
"36581",30,112,12,451,2,349,2,"no"
"43027",21,123,12,379,5,93,2,"yes"
"43315",70,3782,16,618,1,-1,0,"no"
"5542",37,5205,23,493,2,-1,0,"no"
"13945",25,2483,10,1499,3,-1,0,"yes"
"21531",39,3494,19,344,4,-1,0,"no"
"17923",48,286,30,166,2,-1,0,"no"
"13907",27,87,10,245,1,-1,0,"no"
"30410",33,406,5,61,1,275,1,"no"
"33546",35,218,20,93,4,-1,0,"no"
"11872",56,954,20,81,10,-1,0,"no"
"39728",56,1671,28,158,2,-1,0,"no"
"41384",63,1849,1,109,2,-1,0,"no"
"12792",60,3427,7,169,1,-1,0,"no"
"36918",36,356,12,692,4,172,4,"no"
"25933",52,40,19,1265,3,-1,0,"yes"
"7912",40,303,30,104,6,-1,0,"no"
"10240",57,5888,11,288,3,-1,0,"no"
"34561",39,1372,5,206,1,355,1,"no"
"11300",31,54,18,230,3,-1,0,"no"
"5074",35,432,21,1094,55,-1,0,"no"
"14623",46,182,15,317,1,-1,0,"no"
"37010",47,1112,13,129,1,-1,0,"no"
"5416",55,440,23,556,1,-1,0,"no"
"31471",40,442,1,212,1,-1,0,"no"
"22202",31,26,21,419,4,-1,0,"no"
"43861",27,644,2,657,1,182,1,"yes"
"20754",50,109,13,185,2,-1,0,"no"
"28399",37,1152,29,222,1,-1,0,"no"
"1410",31,406,8,31,1,-1,0,"no"
"11001",43,1354,17,183,2,-1,0,"no"
"12239",57,573,20,53,11,-1,0,"no"
"27051",47,324,21,462,2,-1,0,"yes"
"39007",32,55,18,185,1,-1,0,"no"
"35454",40,356,7,1254,3,365,1,"no"
"40113",57,126,4,166,2,-1,0,"yes"
"12957",29,218,7,255,2,-1,0,"no"
"28527",28,203,29,145,2,-1,0,"no"
"39646",25,1847,26,137,2,-1,0,"no"
"38913",29,706,18,1340,1,-1,0,"yes"
"37452",36,330,13,777,2,-1,0,"no"
"36960",37,135,12,268,3,-1,0,"no"
"15425",36,16,18,95,4,-1,0,"no"
"26667",40,9541,20,128,2,189,1,"no"
"13141",38,338,8,191,1,-1,0,"no"
"14994",38,14058,17,293,20,-1,0,"no"
"27661",37,3111,21,9,3,185,2,"no"
"7823",47,12531,30,888,3,-1,0,"no"
"13750",34,0,10,129,1,-1,0,"no"
"4085",44,-848,19,468,1,-1,0,"no"
"2155",27,3675,12,101,2,-1,0,"no"
"2193",26,450,12,1266,1,-1,0,"no"
"16920",31,-723,25,112,2,-1,0,"no"
"30205",34,1072,5,136,1,252,2,"no"
"35223",37,641,7,334,1,-1,0,"no"
"26207",37,8135,20,358,1,184,1,"no"
"15816",46,201,21,91,1,-1,0,"no"
"1800",23,-39,9,142,2,-1,0,"no"
"16651",52,0,24,335,1,-1,0,"no"
"42188",42,2816,10,193,2,-1,0,"yes"
"8551",35,56,3,130,1,-1,0,"no"
"6204",27,910,27,77,1,-1,0,"no"
"26510",37,1060,20,125,3,-1,0,"no"
"15878",44,26,21,105,10,-1,0,"no"
"2389",54,0,13,618,1,-1,0,"yes"
"22634",33,8971,22,138,1,-1,0,"no"
"2569",31,81,13,245,4,-1,0,"no"
"17585",44,2575,29,129,2,-1,0,"no"
"43690",55,184,13,18,1,-1,0,"no"
"35752",51,-35,8,498,1,263,5,"no"
"37172",32,681,13,589,1,-1,0,"no"
"23417",49,276,27,62,5,-1,0,"no"
"25058",46,771,18,708,1,-1,0,"no"
"40627",31,40,4,158,1,104,2,"no"
"3683",30,901,16,601,1,-1,0,"no"
"36338",34,-29,11,200,2,364,2,"no"
"22927",60,17297,26,664,11,-1,0,"yes"
"42610",50,486,11,28,1,-1,0,"no"
"11543",56,5310,19,74,1,-1,0,"no"
"11550",57,1070,19,73,1,-1,0,"no"
"6118",58,-197,27,277,4,-1,0,"no"
"44406",59,1500,4,248,1,182,1,"no"
"23413",31,137,27,27,14,-1,0,"no"
"39049",33,-38,18,184,1,-1,0,"no"
"43682",31,1282,12,144,1,460,2,"no"
"15941",25,0,22,135,1,-1,0,"no"
"30510",44,1451,5,80,7,80,15,"no"
"15964",34,27,22,255,1,-1,0,"no"
"20523",33,2024,12,109,2,-1,0,"no"
"1778",46,-1124,9,206,2,-1,0,"no"
"39881",28,560,2,135,1,-1,0,"no"
"41998",70,616,27,89,1,-1,0,"no"
"14607",36,0,15,201,4,-1,0,"no"
"12606",25,115,4,60,1,-1,0,"no"
"3127",41,30,14,211,3,-1,0,"no"
"38753",39,117,18,1032,2,-1,0,"yes"
"25381",43,508,18,200,1,172,1,"no"
"7048",32,-354,28,51,2,-1,0,"no"
"17270",36,-861,28,53,2,-1,0,"no"
"40823",21,280,11,280,2,-1,0,"no"
"42985",70,579,11,82,2,181,1,"no"
"20963",38,2454,14,373,2,-1,0,"no"
"41546",58,4605,11,339,1,38,1,"no"
"25333",41,22,18,238,3,126,4,"no"
"38038",35,612,14,47,4,-1,0,"no"
"22739",33,584,25,508,5,-1,0,"no"
"6018",29,0,26,469,2,-1,0,"no"
"7920",35,3587,30,148,4,-1,0,"no"
"31279",57,256,6,227,1,-1,0,"yes"
"1579",41,-52,8,120,5,-1,0,"no"
"33963",38,2812,30,830,1,-1,0,"yes"
"31185",31,924,27,172,1,-1,0,"yes"
"33825",65,3629,27,148,1,-1,0,"yes"
"26578",35,3863,20,239,1,-1,0,"no"
"26586",34,5007,20,51,1,-1,0,"no"
"14156",55,204,11,1973,2,-1,0,"yes"
"10643",38,439,16,50,1,-1,0,"no"
"11795",47,287,20,63,1,-1,0,"no"
"29651",37,1050,3,586,3,-1,0,"no"
"6044",34,6575,26,405,4,-1,0,"no"
"26449",35,667,20,178,1,-1,0,"no"
"42768",52,659,28,390,4,93,1,"yes"
"34485",35,147,5,358,1,337,3,"no"
"38055",38,677,14,114,2,-1,0,"no"
"44548",44,1791,12,201,1,182,2,"yes"
"3445",53,-197,15,178,1,-1,0,"no"
"37973",28,293,14,265,1,-1,0,"no"
"31934",38,-898,9,345,2,323,1,"no"
"31911",30,177,9,62,2,332,3,"no"
"9004",49,9824,5,69,1,-1,0,"no"
"10174",51,13089,11,247,1,-1,0,"no"
"2464",51,193,13,202,3,-1,0,"no"
"22481",35,1496,22,73,4,-1,0,"no"
"26018",44,1543,19,363,2,-1,0,"no"
"16271",50,29,23,104,1,-1,0,"no"
"14379",50,85,14,130,3,-1,0,"no"
"32485",34,79,17,193,1,329,1,"no"
"37021",36,319,13,774,2,301,1,"yes"
"20244",41,3465,11,389,4,-1,0,"no"
"3233",40,1927,15,62,1,-1,0,"no"
"43438",31,3289,12,235,1,314,1,"no"
"36129",33,4789,11,220,1,339,4,"no"
"34213",60,4519,4,136,1,91,1,"no"
"23841",45,865,29,80,4,-1,0,"no"
"42972",33,22867,10,165,1,92,5,"no"
"28806",53,3,30,114,4,-1,0,"no"
"13191",35,46,8,338,3,-1,0,"no"
"32588",30,595,17,172,1,-1,0,"no"
"6416",33,1553,27,492,8,-1,0,"no"
"32512",34,528,17,233,2,-1,0,"no"
"13470",31,1023,9,219,1,-1,0,"no"
